invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5_pct,sales,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
870-72-4431,Giza,Naypyitaw,Member,Female,Health And Beauty,99.19,6,29.757,624.897,21-01-2019,14:42:00,Credit Card,595.14,4.761904762,29.757,5.5
699-88-1972,Cairo,Mandalay,Normal,Male,Health And Beauty,99.16,8,39.664,832.944,28-01-2019,17:47:00,Credit Card,793.28,4.761904762,39.664,4.2
125-45-2293,Alex,Yangon,Normal,Female,Fashion Accessories,99.1,6,29.73,624.33,19-01-2019,13:11:00,Cash,594.6,4.761904762,29.73,4.2
687-47-8271,Alex,Yangon,Normal,Male,Fashion Accessories,98.98,10,49.49,1039.29,02-08-2019,16:20:00,Credit Card,989.8,4.761904762,49.49,8.7
277-35-5865,Giza,Naypyitaw,Member,Female,Food And Beverages,98.97,9,44.5365,935.2665,03-09-2019,11:23:00,Cash,890.73,4.761904762,44.5365,6.7
233-34-0817,Giza,Naypyitaw,Member,Female,Electronic Accessories,98.84,1,4.942,103.782,15-02-2019,11:21:00,Cash,98.84,4.761904762,4.942,8.4
714-02-3114,Giza,Naypyitaw,Normal,Female,Sports And Travel,98.8,2,9.88,207.48,21-02-2019,11:39:00,Cash,197.6,4.761904762,9.88,7.7
695-09-5146,Cairo,Mandalay,Member,Female,Food And Beverages,98.79,3,14.8185,311.1885,23-02-2019,20:00:00,Ewallet,296.37,4.761904762,14.8185,6.4
228-96-1411,Giza,Naypyitaw,Member,Female,Food And Beverages,98.7,8,39.48,829.08,03-04-2019,20:39:00,Cash,789.6,4.761904762,39.48,7.6
735-32-9839,Giza,Naypyitaw,Member,Male,Fashion Accessories,98.7,8,39.48,829.08,31-01-2019,10:36:00,Ewallet,789.6,4.761904762,39.48,8.5
384-59-6655,Alex,Yangon,Member,Female,Food And Beverages,98.66,9,44.397,932.337,19-02-2019,15:07:00,Cash,887.94,4.761904762,44.397,8.4
828-46-6863,Alex,Yangon,Member,Male,Food And Beverages,98.53,6,29.559,620.739,23-01-2019,11:22:00,Credit Card,591.18,4.761904762,29.559,4
283-26-5248,Giza,Naypyitaw,Member,Female,Food And Beverages,98.52,10,49.26,1034.46,30-01-2019,20:23:00,Ewallet,985.2,4.761904762,49.26,4.5
409-33-9708,Alex,Yangon,Normal,Female,Fashion Accessories,98.48,2,9.848,206.808,19-02-2019,10:12:00,Ewallet,196.96,4.761904762,9.848,9.2
253-12-6086,Alex,Yangon,Member,Female,Sports And Travel,98.4,7,34.44,723.24,03-12-2019,12:43:00,Credit Card,688.8,4.761904762,34.44,8.7
210-67-5886,Giza,Naypyitaw,Member,Female,Health And Beauty,98.21,3,14.7315,309.3615,02-05-2019,10:41:00,Credit Card,294.63,4.761904762,14.7315,7.8
401-18-8016,Cairo,Mandalay,Member,Female,Sports And Travel,98.13,1,4.9065,103.0365,21-01-2019,17:36:00,Cash,98.13,4.761904762,4.9065,8.9
827-77-7633,Alex,Yangon,Normal,Male,Sports And Travel,98.09,9,44.1405,926.9505,17-02-2019,19:41:00,Cash,882.81,4.761904762,44.1405,9.3
643-38-7867,Alex,Yangon,Normal,Male,Home And Lifestyle,97.94,1,4.897,102.837,03-07-2019,11:44:00,Ewallet,97.94,4.761904762,4.897,6.9
587-03-7455,Giza,Naypyitaw,Member,Female,Fashion Accessories,97.79,7,34.2265,718.7565,16-02-2019,17:30:00,Ewallet,684.53,4.761904762,34.2265,4.9
276-54-0879,Cairo,Mandalay,Normal,Male,Sports And Travel,97.74,4,19.548,410.508,03-12-2019,19:53:00,Ewallet,390.96,4.761904762,19.548,6.4
109-28-2512,Cairo,Mandalay,Member,Female,Fashion Accessories,97.61,6,29.283,614.943,01-07-2019,15:01:00,Ewallet,585.66,4.761904762,29.283,9.9
751-41-9720,Giza,Naypyitaw,Normal,Male,Home And Lifestyle,97.5,10,48.75,1023.75,01-12-2019,16:18:00,Ewallet,975,4.761904762,48.75,8
139-32-4183,Alex,Yangon,Member,Female,Sports And Travel,97.48,9,43.866,921.186,14-03-2019,14:19:00,Ewallet,877.32,4.761904762,43.866,7.4
303-96-2227,Cairo,Mandalay,Normal,Female,Home And Lifestyle,97.38,10,48.69,1022.49,03-02-2019,17:16:00,Ewallet,973.8,4.761904762,48.69,4.4
744-16-7898,Cairo,Mandalay,Normal,Female,Home And Lifestyle,97.37,10,48.685,1022.385,15-01-2019,13:48:00,Credit Card,973.7,4.761904762,48.685,4.9
652-43-6591,Alex,Yangon,Normal,Female,Fashion Accessories,97.29,8,38.916,817.236,03-09-2019,13:18:00,Credit Card,778.32,4.761904762,38.916,6.2
210-74-9613,Giza,Naypyitaw,Normal,Male,Fashion Accessories,97.26,4,19.452,408.492,16-03-2019,15:33:00,Ewallet,389.04,4.761904762,19.452,6.8
743-04-1105,Cairo,Mandalay,Member,Male,Health And Beauty,97.22,9,43.749,918.729,30-03-2019,14:43:00,Ewallet,874.98,4.761904762,43.749,6
271-88-8734,Giza,Naypyitaw,Member,Female,Fashion Accessories,97.21,10,48.605,1020.705,02-08-2019,13:00:00,Credit Card,972.1,4.761904762,48.605,8.7
594-34-4444,Alex,Yangon,Member,Female,Electronic Accessories,97.16,1,4.858,102.018,03-08-2019,20:38:00,Ewallet,97.16,4.761904762,4.858,7.2
416-13-5917,Giza,Naypyitaw,Normal,Female,Food And Beverages,97.03,5,24.2575,509.4075,30-01-2019,16:24:00,Ewallet,485.15,4.761904762,24.2575,9.3
595-86-2894,Giza,Naypyitaw,Member,Male,Fashion Accessories,96.98,4,19.396,407.316,02-06-2019,17:20:00,Ewallet,387.92,4.761904762,19.396,9.4
364-34-2972,Giza,Naypyitaw,Member,Male,Electronic Accessories,96.82,3,14.523,304.983,30-03-2019,20:37:00,Cash,290.46,4.761904762,14.523,6.7
585-11-6748,Cairo,Mandalay,Member,Male,Sports And Travel,96.8,3,14.52,304.92,15-03-2019,13:05:00,Cash,290.4,4.761904762,14.52,5.3
667-23-5919,Alex,Yangon,Member,Female,Fashion Accessories,96.7,5,24.175,507.675,14-01-2019,12:52:00,Ewallet,483.5,4.761904762,24.175,7
847-38-7188,Cairo,Mandalay,Member,Female,Food And Beverages,96.68,3,14.502,304.542,26-01-2019,19:56:00,Ewallet,290.04,4.761904762,14.502,6.4
595-11-5460,Alex,Yangon,Member,Female,Health And Beauty,96.58,2,9.658,202.818,15-03-2019,10:12:00,Credit Card,193.16,4.761904762,9.658,5.1
406-46-7107,Alex,Yangon,Normal,Female,Home And Lifestyle,96.52,6,28.956,608.076,01-11-2019,11:52:00,Cash,579.12,4.761904762,28.956,4.5
189-40-5216,Giza,Naypyitaw,Normal,Male,Electronic Accessories,96.37,7,33.7295,708.3195,01-09-2019,11:40:00,Cash,674.59,4.761904762,33.7295,6
869-11-3082,Cairo,Mandalay,Member,Male,Health And Beauty,96.16,4,19.232,403.872,27-01-2019,20:03:00,Credit Card,384.64,4.761904762,19.232,8.4
268-03-6164,Cairo,Mandalay,Normal,Male,Health And Beauty,96.11,1,4.8055,100.9155,25-01-2019,16:28:00,Ewallet,96.11,4.761904762,4.8055,7.8
160-22-2687,Alex,Yangon,Member,Female,Health And Beauty,95.95,5,23.9875,503.7375,23-01-2019,14:21:00,Ewallet,479.75,4.761904762,23.9875,8.8
711-31-1234,Cairo,Mandalay,Normal,Female,Electronic Accessories,95.64,4,19.128,401.688,16-03-2019,18:51:00,Cash,382.56,4.761904762,19.128,7.9
234-65-2137,Giza,Naypyitaw,Normal,Male,Home And Lifestyle,95.58,10,47.79,1003.59,16-01-2019,13:32:00,Cash,955.8,4.761904762,47.79,4.8
616-87-0016,Cairo,Mandalay,Normal,Male,Fashion Accessories,95.54,7,33.439,702.219,03-09-2019,14:36:00,Credit Card,668.78,4.761904762,33.439,9.6
707-32-7409,Cairo,Mandalay,Member,Female,Sports And Travel,95.54,4,19.108,401.268,26-02-2019,11:58:00,Ewallet,382.16,4.761904762,19.108,4.5
743-88-1662,Giza,Naypyitaw,Normal,Male,Sports And Travel,95.49,7,33.4215,701.8515,22-02-2019,18:17:00,Ewallet,668.43,4.761904762,33.4215,8.7
593-14-4239,Cairo,Mandalay,Normal,Female,Home And Lifestyle,95.46,8,38.184,801.864,03-05-2019,19:40:00,Ewallet,763.68,4.761904762,38.184,4.7
554-42-2417,Giza,Naypyitaw,Normal,Female,Sports And Travel,95.44,10,47.72,1002.12,01-09-2019,13:45:00,Cash,954.4,4.761904762,47.72,5.2
376-56-3573,Giza,Naypyitaw,Normal,Female,Fashion Accessories,95.42,4,19.084,400.764,02-02-2019,13:23:00,Ewallet,381.68,4.761904762,19.084,6.4
674-56-6360,Alex,Yangon,Normal,Male,Electronic Accessories,95.15,1,4.7575,99.9075,22-03-2019,14:00:00,Cash,95.15,4.761904762,4.7575,6
430-60-3493,Alex,Yangon,Member,Female,Home And Lifestyle,94.88,7,33.208,697.368,02-03-2019,14:38:00,Cash,664.16,4.761904762,33.208,4.2
549-03-9315,Cairo,Mandalay,Normal,Male,Fashion Accessories,94.87,8,37.948,796.908,02-12-2019,12:58:00,Ewallet,758.96,4.761904762,37.948,8.7
534-53-3526,Alex,Yangon,Normal,Female,Sports And Travel,94.76,4,18.952,397.992,02-11-2019,16:06:00,Ewallet,379.04,4.761904762,18.952,7.8
749-81-8133,Alex,Yangon,Normal,Female,Fashion Accessories,94.67,4,18.934,397.614,03-11-2019,12:04:00,Cash,378.68,4.761904762,18.934,6.8
319-74-2561,Alex,Yangon,Member,Female,Electronic Accessories,94.64,3,14.196,298.116,21-02-2019,16:55:00,Cash,283.92,4.761904762,14.196,5.5
670-79-6321,Cairo,Mandalay,Member,Female,Home And Lifestyle,94.59,7,33.1065,695.2365,17-01-2019,15:27:00,Credit Card,662.13,4.761904762,33.1065,4.9
305-14-0245,Cairo,Mandalay,Member,Female,Home And Lifestyle,94.49,8,37.796,793.716,03-03-2019,19:00:00,Ewallet,755.92,4.761904762,37.796,7.5
605-72-4132,Giza,Naypyitaw,Normal,Female,Food And Beverages,94.47,8,37.788,793.548,27-02-2019,15:12:00,Cash,755.76,4.761904762,37.788,9.1
719-76-3868,Giza,Naypyitaw,Member,Male,Food And Beverages,94.26,4,18.852,395.892,03-12-2019,16:30:00,Cash,377.04,4.761904762,18.852,8.6
871-79-8483,Cairo,Mandalay,Member,Female,Fashion Accessories,94.13,5,23.5325,494.1825,25-02-2019,19:39:00,Credit Card,470.65,4.761904762,23.5325,4.8
805-86-0265,Alex,Yangon,Normal,Male,Home And Lifestyle,93.96,9,42.282,887.922,20-03-2019,11:32:00,Cash,845.64,4.761904762,42.282,9.8
132-32-9879,Cairo,Mandalay,Member,Female,Electronic Accessories,93.96,4,18.792,394.632,03-09-2019,18:00:00,Cash,375.84,4.761904762,18.792,9.5
489-82-1237,Alex,Yangon,Normal,Female,Electronic Accessories,93.88,7,32.858,690.018,01-05-2019,11:51:00,Credit Card,657.16,4.761904762,32.858,7.3
376-02-8238,Cairo,Mandalay,Normal,Male,Home And Lifestyle,93.87,8,37.548,788.508,02-02-2019,18:42:00,Credit Card,750.96,4.761904762,37.548,8.3
804-38-3935,Alex,Yangon,Member,Male,Electronic Accessories,93.78,3,14.067,295.407,30-01-2019,11:32:00,Credit Card,281.34,4.761904762,14.067,5.9
299-46-1805,Cairo,Mandalay,Member,Female,Sports And Travel,93.72,6,28.116,590.436,15-01-2019,16:19:00,Cash,562.32,4.761904762,28.116,4.5
668-90-8900,Alex,Yangon,Member,Female,Home And Lifestyle,93.69,7,32.7915,688.6215,03-10-2019,18:44:00,Credit Card,655.83,4.761904762,32.7915,4.5
642-61-4706,Cairo,Mandalay,Member,Male,Food And Beverages,93.4,2,9.34,196.14,30-03-2019,16:34:00,Cash,186.8,4.761904762,9.34,5.5
423-57-2993,Cairo,Mandalay,Normal,Male,Sports And Travel,93.39,6,28.017,588.357,27-03-2019,19:18:00,Ewallet,560.34,4.761904762,28.017,10
875-31-8302,Cairo,Mandalay,Normal,Male,Sports And Travel,93.38,1,4.669,98.049,01-03-2019,13:07:00,Cash,93.38,4.761904762,4.669,9.6
282-35-2475,Cairo,Mandalay,Normal,Female,Sports And Travel,93.31,2,9.331,195.951,25-03-2019,17:53:00,Cash,186.62,4.761904762,9.331,6.3
677-11-0152,Giza,Naypyitaw,Normal,Female,Food And Beverages,93.26,9,41.967,881.307,16-01-2019,18:08:00,Cash,839.34,4.761904762,41.967,8.8
789-23-8625,Cairo,Mandalay,Member,Male,Fashion Accessories,93.22,3,13.983,293.643,24-01-2019,11:45:00,Cash,279.66,4.761904762,13.983,7.2
142-72-4741,Giza,Naypyitaw,Member,Male,Fashion Accessories,93.2,2,9.32,195.72,28-02-2019,18:37:00,Credit Card,186.4,4.761904762,9.32,6
618-34-8551,Alex,Yangon,Normal,Female,Sports And Travel,93.18,2,9.318,195.678,16-01-2019,18:41:00,Credit Card,186.36,4.761904762,9.318,8.5
645-78-8093,Alex,Yangon,Normal,Female,Sports And Travel,93.14,2,9.314,195.594,20-01-2019,18:09:00,Ewallet,186.28,4.761904762,9.314,4.1
453-33-6436,Alex,Yangon,Normal,Female,Home And Lifestyle,93.12,8,37.248,782.208,02-07-2019,10:09:00,Cash,744.96,4.761904762,37.248,6.8
339-18-7061,Giza,Naypyitaw,Member,Female,Fashion Accessories,92.98,2,9.298,195.258,13-02-2019,15:06:00,Credit Card,185.96,4.761904762,9.298,8
359-94-5395,Cairo,Mandalay,Normal,Male,Health And Beauty,92.78,1,4.639,97.419,15-03-2019,10:50:00,Credit Card,92.78,4.761904762,4.639,9.8
263-12-5321,Alex,Yangon,Member,Male,Electronic Accessories,92.6,7,32.41,680.61,27-02-2019,12:52:00,Credit Card,648.2,4.761904762,32.41,9.3
607-76-6216,Giza,Naypyitaw,Member,Female,Fashion Accessories,92.49,5,23.1225,485.5725,03-02-2019,16:35:00,Credit Card,462.45,4.761904762,23.1225,8.6
142-63-6033,Cairo,Mandalay,Normal,Male,Home And Lifestyle,92.36,5,23.09,484.89,20-03-2019,19:17:00,Ewallet,461.8,4.761904762,23.09,4.9
782-95-9291,Alex,Yangon,Member,Male,Food And Beverages,92.29,5,23.0725,484.5225,20-02-2019,15:55:00,Credit Card,461.45,4.761904762,23.0725,9
802-70-5316,Alex,Yangon,Member,Female,Sports And Travel,92.13,6,27.639,580.419,03-06-2019,20:34:00,Cash,552.78,4.761904762,27.639,8.3
131-70-8179,Alex,Yangon,Member,Female,Health And Beauty,92.09,3,13.8135,290.0835,17-02-2019,16:27:00,Cash,276.27,4.761904762,13.8135,4.2
256-58-3609,Giza,Naypyitaw,Member,Male,Fashion Accessories,91.98,1,4.599,96.579,18-03-2019,15:29:00,Cash,91.98,4.761904762,4.599,9.8
436-54-4512,Alex,Yangon,Member,Female,Food And Beverages,91.61,1,4.5805,96.1905,20-03-2019,19:44:00,Cash,91.61,4.761904762,4.5805,9.8
197-77-7132,Cairo,Mandalay,Member,Male,Electronic Accessories,91.56,8,36.624,769.104,01-12-2019,18:22:00,Ewallet,732.48,4.761904762,36.624,6
608-96-3517,Cairo,Mandalay,Member,Female,Fashion Accessories,91.54,4,18.308,384.468,23-03-2019,19:20:00,Credit Card,366.16,4.761904762,18.308,4.8
719-89-8991,Alex,Yangon,Member,Female,Sports And Travel,91.41,5,22.8525,479.9025,25-02-2019,16:03:00,Ewallet,457.05,4.761904762,22.8525,7.1
326-78-5178,Giza,Naypyitaw,Member,Female,Food And Beverages,91.4,7,31.99,671.79,02-03-2019,10:19:00,Cash,639.8,4.761904762,31.99,9.5
598-06-7312,Cairo,Mandalay,Member,Male,Fashion Accessories,91.35,1,4.5675,95.9175,16-02-2019,15:42:00,Cash,91.35,4.761904762,4.5675,6.8
528-14-9470,Alex,Yangon,Member,Male,Health And Beauty,91.3,1,4.565,95.865,14-02-2019,14:42:00,Ewallet,91.3,4.761904762,4.565,9.2
347-72-6115,Cairo,Mandalay,Member,Female,Sports And Travel,90.74,7,31.759,666.939,16-01-2019,18:03:00,Credit Card,635.18,4.761904762,31.759,6.2
466-61-5506,Cairo,Mandalay,Member,Female,Electronic Accessories,90.7,6,27.21,571.41,26-02-2019,10:52:00,Cash,544.2,4.761904762,27.21,5.3
325-77-6186,Alex,Yangon,Member,Female,Home And Lifestyle,90.65,10,45.325,951.825,03-08-2019,10:53:00,Ewallet,906.5,4.761904762,45.325,7.3
678-79-0726,Giza,Naypyitaw,Member,Female,Sports And Travel,90.63,9,40.7835,856.4535,18-01-2019,15:28:00,Cash,815.67,4.761904762,40.7835,5.1
361-59-0574,Cairo,Mandalay,Member,Male,Sports And Travel,90.53,8,36.212,760.452,15-03-2019,14:48:00,Credit Card,724.24,4.761904762,36.212,6.5
280-17-4359,Giza,Naypyitaw,Member,Male,Health And Beauty,90.5,10,45.25,950.25,25-01-2019,13:48:00,Cash,905,4.761904762,45.25,8.1
549-84-7482,Cairo,Mandalay,Member,Female,Sports And Travel,90.28,9,40.626,853.146,02-08-2019,11:15:00,Ewallet,812.52,4.761904762,40.626,7.2
862-59-8517,Giza,Naypyitaw,Normal,Female,Food And Beverages,90.24,6,27.072,568.512,27-01-2019,11:17:00,Cash,541.44,4.761904762,27.072,6.2
597-78-7908,Giza,Naypyitaw,Normal,Female,Fashion Accessories,90.22,3,13.533,284.193,18-02-2019,19:39:00,Cash,270.66,4.761904762,13.533,6.2
448-61-3783,Alex,Yangon,Normal,Female,Electronic Accessories,90.02,8,36.008,756.168,21-03-2019,16:08:00,Credit Card,720.16,4.761904762,36.008,4.5
731-81-9469,Giza,Naypyitaw,Member,Female,Sports And Travel,89.8,10,44.9,942.9,23-01-2019,13:00:00,Credit Card,898,4.761904762,44.9,5.4
512-91-0811,Giza,Naypyitaw,Member,Female,Health And Beauty,89.75,1,4.4875,94.2375,02-06-2019,20:05:00,Credit Card,89.75,4.761904762,4.4875,6.6
478-06-7835,Alex,Yangon,Normal,Male,Fashion Accessories,89.69,1,4.4845,94.1745,01-11-2019,11:20:00,Ewallet,89.69,4.761904762,4.4845,4.9
635-40-6220,Alex,Yangon,Member,Female,Health And Beauty,89.6,8,35.84,752.64,02-07-2019,11:28:00,Ewallet,716.8,4.761904762,35.84,6.6
393-65-2792,Giza,Naypyitaw,Member,Female,Food And Beverages,89.48,10,44.74,939.54,01-06-2019,12:46:00,Credit Card,894.8,4.761904762,44.74,9.6
361-85-2571,Alex,Yangon,Normal,Female,Sports And Travel,89.48,5,22.37,469.77,30-03-2019,10:18:00,Cash,447.4,4.761904762,22.37,7.4
725-96-3778,Giza,Naypyitaw,Member,Female,Home And Lifestyle,89.25,8,35.7,749.7,20-01-2019,10:13:00,Cash,714,4.761904762,35.7,4.7
138-17-5109,Alex,Yangon,Member,Female,Home And Lifestyle,89.21,9,40.1445,843.0345,15-01-2019,15:42:00,Credit Card,802.89,4.761904762,40.1445,6.5
866-99-7614,Giza,Naypyitaw,Normal,Male,Food And Beverages,89.2,10,44.6,936.6,02-11-2019,15:42:00,Credit Card,892,4.761904762,44.6,4.4
889-04-9723,Cairo,Mandalay,Member,Female,Food And Beverages,89.14,4,17.828,374.388,01-07-2019,12:20:00,Credit Card,356.56,4.761904762,17.828,7.8
166-19-2553,Alex,Yangon,Member,Male,Sports And Travel,89.06,6,26.718,561.078,18-01-2019,17:26:00,Cash,534.36,4.761904762,26.718,9.9
803-17-8013,Alex,Yangon,Member,Female,Home And Lifestyle,88.79,8,35.516,745.836,17-02-2019,17:09:00,Cash,710.32,4.761904762,35.516,4.1
704-48-3927,Alex,Yangon,Member,Female,Electronic Accessories,88.67,10,44.335,931.035,01-12-2019,14:50:00,Ewallet,886.7,4.761904762,44.335,7.3
549-59-1358,Alex,Yangon,Member,Female,Sports And Travel,88.63,3,13.2945,279.1845,03-02-2019,17:36:00,Ewallet,265.89,4.761904762,13.2945,6
779-06-0012,Giza,Naypyitaw,Member,Female,Home And Lifestyle,88.61,1,4.4305,93.0405,19-01-2019,10:21:00,Cash,88.61,4.761904762,4.4305,7.7
155-45-3814,Giza,Naypyitaw,Member,Female,Electronic Accessories,88.55,8,35.42,743.82,19-03-2019,15:29:00,Ewallet,708.4,4.761904762,35.42,4.7
511-54-3087,Cairo,Mandalay,Normal,Male,Sports And Travel,88.45,1,4.4225,92.8725,25-02-2019,16:36:00,Credit Card,88.45,4.761904762,4.4225,9.5
394-30-3170,Cairo,Mandalay,Member,Female,Sports And Travel,88.43,8,35.372,742.812,22-03-2019,19:35:00,Credit Card,707.44,4.761904762,35.372,4.3
640-48-5028,Cairo,Mandalay,Member,Female,Home And Lifestyle,88.39,9,39.7755,835.2855,03-02-2019,12:40:00,Cash,795.51,4.761904762,39.7755,6.3
145-94-9061,Cairo,Mandalay,Member,Female,Food And Beverages,88.36,5,22.09,463.89,25-01-2019,19:48:00,Cash,441.8,4.761904762,22.09,9.6
849-09-3807,Alex,Yangon,Member,Female,Fashion Accessories,88.34,7,30.919,649.299,18-02-2019,13:28:00,Cash,618.38,4.761904762,30.919,6.6
321-49-7382,Cairo,Mandalay,Member,Male,Sports And Travel,88.31,1,4.4155,92.7255,15-02-2019,17:38:00,Credit Card,88.31,4.761904762,4.4155,5.2
431-66-2305,Cairo,Mandalay,Normal,Female,Electronic Accessories,88.25,9,39.7125,833.9625,15-02-2019,20:51:00,Credit Card,794.25,4.761904762,39.7125,7.6
562-12-5430,Alex,Yangon,Member,Female,Fashion Accessories,88.15,3,13.2225,277.6725,18-01-2019,10:11:00,Ewallet,264.45,4.761904762,13.2225,7.9
371-85-5789,Cairo,Mandalay,Member,Female,Health And Beauty,87.98,3,13.197,277.137,03-05-2019,10:40:00,Ewallet,263.94,4.761904762,13.197,5.1
840-19-2096,Giza,Naypyitaw,Member,Male,Electronic Accessories,87.91,5,21.9775,461.5275,14-03-2019,18:10:00,Ewallet,439.55,4.761904762,21.9775,4.4
325-89-4209,Alex,Yangon,Member,Male,Food And Beverages,87.9,1,4.395,92.295,02-05-2019,19:42:00,Ewallet,87.9,4.761904762,4.395,6.7
766-85-7061,Cairo,Mandalay,Member,Female,Health And Beauty,87.87,10,43.935,922.635,29-03-2019,10:25:00,Ewallet,878.7,4.761904762,43.935,5.1
457-94-0464,Cairo,Mandalay,Member,Male,Electronic Accessories,87.87,9,39.5415,830.3715,31-01-2019,20:32:00,Ewallet,790.83,4.761904762,39.5415,5.6
286-43-6208,Giza,Naypyitaw,Normal,Female,Food And Beverages,87.8,9,39.51,829.71,16-03-2019,19:08:00,Cash,790.2,4.761904762,39.51,9.2
189-17-4241,Alex,Yangon,Member,Female,Fashion Accessories,87.67,2,8.767,184.107,03-10-2019,12:17:00,Credit Card,175.34,4.761904762,8.767,7.7
358-88-9262,Giza,Naypyitaw,Member,Female,Food And Beverages,87.48,6,26.244,551.124,02-01-2019,18:43:00,Ewallet,524.88,4.761904762,26.244,5.1
590-83-4591,Cairo,Mandalay,Member,Female,Electronic Accessories,87.45,6,26.235,550.935,17-02-2019,14:40:00,Credit Card,524.7,4.761904762,26.235,8.8
800-09-8606,Alex,Yangon,Member,Female,Home And Lifestyle,87.37,5,21.8425,458.6925,29-01-2019,19:45:00,Cash,436.85,4.761904762,21.8425,6.6
746-68-6593,Giza,Naypyitaw,Member,Female,Sports And Travel,87.16,2,8.716,183.036,01-11-2019,14:29:00,Credit Card,174.32,4.761904762,8.716,9.7
641-51-2661,Giza,Naypyitaw,Member,Female,Food And Beverages,87.1,10,43.55,914.55,02-12-2019,14:45:00,Credit Card,871,4.761904762,43.55,9.9
452-04-8808,Cairo,Mandalay,Normal,Male,Electronic Accessories,87.08,7,30.478,640.038,26-01-2019,15:17:00,Cash,609.56,4.761904762,30.478,5.5
342-65-4817,Giza,Naypyitaw,Member,Male,Health And Beauty,86.8,3,13.02,273.42,28-01-2019,16:47:00,Ewallet,260.4,4.761904762,13.02,9.9
280-35-5823,Cairo,Mandalay,Member,Female,Home And Lifestyle,86.72,1,4.336,91.056,17-01-2019,18:45:00,Ewallet,86.72,4.761904762,4.336,7.9
